Name,minLevel,maxLevel,Times,LocationTypes,Biome,AntiBiome,Rarity
Absol,ANY,ANY,ANY,Land,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs, minecraft:end_barrens",NONE,0.3
Absol,20,50,MIDNIGHT,Land,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs",NONE,90.0
Absol,20,50,ANY,Land,"minecraft:end_barrens, nullscape:crystal_peaks",NONE,90.0
Absol,5,50,ANY,Curry,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs",NONE,30.0
Aegislash,50,62,ANY,Manmade,"minecraft:nether_wastes, minecraft:basalt_deltas, minecraft:crimson_forest, minecraft:soul_sand_valley, minecraft:warped_forest, biomesoplenty:crystalline_chasm, biomesoplenty:erupting_inferno, biomesoplenty:undergrowth, biomesoplenty:visceral_heap, biomesoplenty:withered_abyss, incendium:ash_barrens, incendium:infernal_dunes, incendium:inverted_forest, incendium:quartz_flats, incendium:toxic_heap, incendium:volcanic_deltas, incendium:weeping_valley, incendium:withered_forest",NONE,0.5
Aegislash,50,62,NIGHT,Grass,"minecraft:savanna, minecraft:savanna_plateau, minecraft:windswept_savanna, biomesoplenty:lush_savanna, biomeswevegone:araucaria_savanna, biomeswevegone:atacama_outback, biomeswevegone:baobab_savanna, biomeswevegone:ironwood_gour, terralith:arid_highlands, terralith:fractured_savanna, terralith:savanna_badlands, terralith:savanna_slopes",NONE,0.5
Aegislash,50,62,MIDNIGHT,"Indoors, Land","minecraft:dark_forest, biomeswevegone:black_forest, biomeswevegone:ebony_woods",NONE,1.0
Aegislash,50,62,NIGHT,Land,"minecraft:savanna, minecraft:savanna_plateau, minecraft:windswept_savanna, biomesoplenty:lush_savanna, biomeswevegone:araucaria_savanna, biomeswevegone:atacama_outback, biomeswevegone:baobab_savanna, biomeswevegone:ironwood_gour, terralith:arid_highlands, terralith:fractured_savanna, terralith:savanna_badlands, terralith:savanna_slopes",NONE,0.5
Aegislash,50,62,MIDNIGHT,Manmade,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs",NONE,1.0
Aegislash boss:haunted,50,62,NIGHT,"Indoors, Land","minecraft:dark_forest, biomeswevegone:black_forest, biomeswevegone:ebony_woods",NONE,1.0
Aegislash palette:alter,50,62,NIGHT,Land,pixelmon:ultra_crater,NONE,0.5
Aerodactyl,25,50,NIGHT,Air,pixelmon:ultra_jungle,NONE,25.0
Aerodactyl,ANY,ANY,ANY,Air,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs",NONE,0.3
Aggron,40,60,ANY,Land,"minecraft:badlands, minecraft:eroded_badlands, minecraft:wooded_badlands, biomeswevegone:red_rock_paeks, biomeswevegone:red_rock_valley, terralith:ancient_sands, terralith:bryce_canyon, terralith:painted_mountains, terralith:red_oasis, terralith:white_mesa",NONE,0.1
Aggron,ANY,ANY,ANY,Land,"minecraft:badlands, minecraft:eroded_badlands, minecraft:wooded_badlands, biomeswevegone:red_rock_paeks, biomeswevegone:red_rock_valley, terralith:ancient_sands, terralith:bryce_canyon, terralith:painted_mountains, terralith:red_oasis, terralith:white_mesa",NONE,0.3
Aggron,40,60,ANY,Grass,"minecraft:badlands, minecraft:eroded_badlands, minecraft:wooded_badlands, biomeswevegone:red_rock_paeks, biomeswevegone:red_rock_valley, terralith:ancient_sands, terralith:bryce_canyon, terralith:painted_mountains, terralith:red_oasis, terralith:white_mesa",NONE,0.1
Aipom,5,30,ANY,Curry,"minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle",NONE,40.0
Aipom,2,30,MORNING,"Land, Tree Top, Headbutt","minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle, biomeswevegone:crag_gardens",NONE,90.0
Aipom,5,30,MORNING,Grass,"minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle, byg:crag_gardens",NONE,90.0
Aipom,3,10,"DAWN, DAY",Headbutt,"minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle, byg:crag_gardens",NONE,130.0
Aipom status:Sleep,3,10,"DUSK, NIGHT",Headbutt,"minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle, byg:crag_gardens",NONE,130.0
Alakazam,ANY,ANY,ANY,Land,"minecraft:end_highlands, minecraft:forest, minecraft:flower_forest, biomesoplenty:grove, biomesoplenty:jacaranda_glade, biomesoplenty:maple_woods, biomesoplenty:mediterranean_forest, biomesoplenty:orchard, biomesoplenty:seasonal_forest, biomesoplenty:seasonal_orchard, biomesoplenty:woodland, biomeswevegone:black_forest, biomeswevegone:maple_taiga, biomeswevegone:orchard, biomeswevegone:overgrown_woodlands, biomeswevegone:skyrise_vale, biomeswevegone:temperate_grove, biomeswevegone:zelkova_forest, terralith:sakura_grove, terralith:temperate_highlands",NONE,0.3
Alakazam,30,50,ANY,Land,"minecraft:end_highlands, nullscape:void_barrens",NONE,0.1
Alomomola,18,35,MORNING,Water,"minecraft:warm_ocean, minecraft:deep_warm_ocean, minecraft:lukewarm_ocean, minecraft:deep_lukewarm_ocean, biomeswevegone:lush_stacks",NONE,90.0
Alomomola,36,49,DAY,Super Rod,"minecraft:warm_ocean, minecraft:deep_warm_ocean, minecraft:lukewarm_ocean, minecraft:deep_lukewarm_ocean",NONE,7.0
Altaria,35,55,AFTERNOON,Air,pixelmon:ultra_forest,NONE,25.0
Altaria,35,45,"DAWN, DAY",Headbutt,"minecraft:birch_forest, minecraft:old_growth_birch_forest, biomesoplenty:aspen_glade, biomeswevegone:aspen_boreal, terralith:birch_taiga, terralith:white_cliffs, biomesoplenty:lavender_field, biomesoplenty:mystic_forest, biomesoplenty:origin_valley, biomeswevegone:enchanted_tangle, biomeswevegone:forgotten_forest, biomeswevegone:skyrise_vale, biomeswevegone:weeping_witch_forest, terralith:alpha_islands, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:lavender_valley, terralith:mirage_isles, terralith:moonlight_grove, terralith:moonlight_valley, pixelmon:ultra_forest",NONE,0.5
Altaria,35,55,DAY,"Air, Headbutt","minecraft:birch_forest, minecraft:old_growth_birch_forest, biomesoplenty:aspen_glade, biomeswevegone:aspen_boreal, terralith:birch_taiga, terralith:white_cliffs, biomesoplenty:lavender_field, biomesoplenty:mystic_forest, biomesoplenty:origin_valley, biomeswevegone:enchanted_tangle, biomeswevegone:forgotten_forest, biomeswevegone:skyrise_vale, biomeswevegone:weeping_witch_forest, terralith:alpha_islands, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:lavender_valley, terralith:mirage_isles, terralith:moonlight_grove, terralith:moonlight_valley, biomesoplenty:volcanic_plains, biomesoplenty:volcano, terralith:ashen_savanna, terralith:basalt_cliffs, terralith:volcanic_crater, terralith:volcanic_peaks",NONE,6.0
Altaria,35,55,DAY,Grass,"minecraft:birch_forest, minecraft:old_growth_birch_forest, biomesoplenty:aspen_glade, biomeswevegone:aspen_boreal, terralith:birch_taiga, terralith:white_cliffs, biomesoplenty:lavender_field, biomesoplenty:mystic_forest, biomesoplenty:origin_valley, biomeswevegone:enchanted_tangle, biomeswevegone:forgotten_forest, biomeswevegone:skyrise_vale, biomeswevegone:weeping_witch_forest, terralith:alpha_islands, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:lavender_valley, terralith:mirage_isles, terralith:moonlight_grove, terralith:moonlight_valley, biomesoplenty:volcano, biomesoplenty:volcanic_plains",NONE,6.0
Altaria,ANY,ANY,ANY,Air,"minecraft:birch_forest, minecraft:old_growth_birch_forest, biomesoplenty:aspen_glade, biomeswevegone:aspen_boreal, terralith:birch_taiga, terralith:white_cliffs, biomesoplenty:lavender_field, biomesoplenty:mystic_forest, biomesoplenty:origin_valley, biomeswevegone:enchanted_tangle, biomeswevegone:forgotten_forest, biomeswevegone:skyrise_vale, biomeswevegone:weeping_witch_forest, terralith:alpha_islands, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:lavender_valley, terralith:mirage_isles, terralith:moonlight_grove, terralith:moonlight_valley, biomesoplenty:volcanic_plains, biomesoplenty:volcano, terralith:ashen_savanna, terralith:basalt_cliffs, terralith:volcanic_crater, terralith:volcanic_peaks",NONE,0.3
Altaria status:Sleep,35,45,"DUSK, NIGHT",Headbutt,"minecraft:birch_forest, minecraft:old_growth_birch_forest, biomesoplenty:aspen_glade, biomeswevegone:aspen_boreal, terralith:birch_taiga, terralith:white_cliffs, biomesoplenty:lavender_field, biomesoplenty:mystic_forest, biomesoplenty:origin_valley, biomeswevegone:enchanted_tangle, biomeswevegone:forgotten_forest, biomeswevegone:skyrise_vale, biomeswevegone:weeping_witch_forest, terralith:alpha_islands, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:lavender_valley, terralith:mirage_isles, terralith:moonlight_grove, terralith:moonlight_valley, pixelmon:ultra_forest",NONE,0.5
Amaura,2,35,NIGHT,Land,pixelmon:ultra_plant,NONE,50.0
Ambipom,33,45,AFTERNOON,"Land, Tree Top, Headbutt","minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle, biomeswevegone:crag_gardens",NONE,0.5
Ambipom,33,45,ANY,"Land, Tree Top",pixelmon:ultra_jungle,NONE,25.0
Ambipom,18,27,"DAWN, DAY",Headbutt,"minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle, byg:crag_gardens, pixelmon:ultra_jungle",NONE,20.0
Ambipom,33,45,AFTERNOON,Grass,"minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle, byg:crag_gardens",NONE,0.5
Ambipom status:Sleep,18,27,"DUSK, NIGHT",Headbutt,"minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle, byg:crag_gardens, pixelmon:ultra_jungle",NONE,20.0
Amoonguss,40,55,ANY,Underground,"biomesoplenty:glowing_grotto, terralith:cave/fungal_caves",NONE,8.0
Amoonguss,40,55,"NIGHT, DUSK",Land,"minecraft:forest, minecraft:flower_forest, minecraft:birch_forest, minecraft:old_growth_birch_forest, minecraft:dark_forest, minecraft:grove, minecraft:taiga, minecraft:old_growth_pine_taiga, minecraft:old_growth_spruce_taiga, biomesoplenty:coniferous_forest, biomesoplenty:forested_field, biomesoplenty:grove, biomesoplenty:jacaranda_glade, biomesoplenty:maple_woods, biomesoplenty:mediterranean_forest, biomesoplenty:orchard, biomesoplenty:redwood_forest, biomesoplenty:seasonal_forest, biomesoplenty:seasonal_orchard, biomesoplenty:woodland, biomeswevegone:aspen_boreal, biomeswevegone:black_forest, biomeswevegone:cika_woods, biomeswevegone:coniferous_forest, biomeswevegone:dacite_ridges, biomeswevegone:ebony_woods, biomeswevegone:maple_taiga, biomeswevegone:orchard, biomeswevegone:overgrown_woodlands, biomeswevegone:redwood_thicket, biomeswevegone:skyrise_vale, biomeswevegone:temperate_grove, biomeswevegone:zelkova_forest, terralith:birch_taiga, terralith:cloud_forest, terralith:lush_valley, terralith:sakura_grove, terralith:sakura_valley, terralith:shield, terralith:shield_clearing, terralith:siberian_taiga, terralith:skylands_autumn, terralith:skylands_spring, terralith:temperate_highlands, terralith:yellowstone, terralith:yosemite_lowlands, minecraft:mushroom_fields, biomesoplenty:fungal_jungle",NONE,8.0
Amoonguss,40,55,"NIGHT, DUSK",Grass,"minecraft:forest, minecraft:flower_forest, minecraft:birch_forest, minecraft:old_growth_birch_forest, minecraft:dark_forest, minecraft:grove, minecraft:taiga, minecraft:old_growth_pine_taiga, minecraft:old_growth_spruce_taiga, biomesoplenty:coniferous_forest, biomesoplenty:forested_field, biomesoplenty:grove, biomesoplenty:jacaranda_glade, biomesoplenty:maple_woods, biomesoplenty:mediterranean_forest, biomesoplenty:orchard, biomesoplenty:redwood_forest, biomesoplenty:seasonal_forest, biomesoplenty:seasonal_orchard, biomesoplenty:woodland, biomeswevegone:aspen_boreal, biomeswevegone:black_forest, biomeswevegone:cika_woods, biomeswevegone:coniferous_forest, biomeswevegone:dacite_ridges, biomeswevegone:ebony_woods, biomeswevegone:maple_taiga, biomeswevegone:orchard, biomeswevegone:overgrown_woodlands, biomeswevegone:redwood_thicket, biomeswevegone:skyrise_vale, biomeswevegone:temperate_grove, biomeswevegone:zelkova_forest, terralith:birch_taiga, terralith:cloud_forest, terralith:lush_valley, terralith:sakura_grove, terralith:sakura_valley, terralith:shield, terralith:shield_clearing, terralith:siberian_taiga, terralith:skylands_autumn, terralith:skylands_spring, terralith:temperate_highlands, terralith:yellowstone, terralith:yosemite_lowlands, minecraft:mushroom_fields, biomesoplenty:fungal_jungle",NONE,8.0
Ampharos,30,50,"AFTERNOON, DUSK",Land,"minecraft:plains, minecraft:sunflower_plains, minecraft:meadow, biomesoplenty:field, biomesoplenty:grassland, biomesoplenty:meadow, biomesoplenty:moor, biomesoplenty:overgrown_greens, biomesoplenty:pasture, biomesoplenty:prairie, biomesoplenty:pumpkin_patch, biomesoplenty:rocky_shrubland, biomesoplenty:scrubland, biomesoplenty:shrubland, biomeswevegone:coconino_meadow, biomeswevegone:firecracker_chaparral, biomeswevegone:prairie, biomeswevegone:pumpkin_valley, terralith:brushland, terralith:hot_shrubland, terralith:shrubland, terralith:steppe, terralith:valley_clearing, minecraft:snowy_plains",NONE,0.5
Ampharos,ANY,ANY,ANY,Land,"minecraft:plains, minecraft:sunflower_plains, minecraft:meadow, biomesoplenty:field, biomesoplenty:grassland, biomesoplenty:meadow, biomesoplenty:moor, biomesoplenty:overgrown_greens, biomesoplenty:pasture, biomesoplenty:prairie, biomesoplenty:pumpkin_patch, biomesoplenty:rocky_shrubland, biomesoplenty:scrubland, biomesoplenty:shrubland, biomeswevegone:coconino_meadow, biomeswevegone:firecracker_chaparral, biomeswevegone:prairie, biomeswevegone:pumpkin_valley, terralith:brushland, terralith:hot_shrubland, terralith:shrubland, terralith:steppe, terralith:valley_clearing, minecraft:snowy_plains",NONE,0.3
Ampharos,30,50,MORNING,Land,pixelmon:ultra_plant,NONE,50.0
Ampharos,30,50,"AFTERNOON, DUSK",Grass,"minecraft:plains, minecraft:sunflower_plains, minecraft:meadow, biomesoplenty:field, biomesoplenty:grassland, biomesoplenty:meadow, biomesoplenty:moor, biomesoplenty:overgrown_greens, biomesoplenty:pasture, biomesoplenty:prairie, biomesoplenty:pumpkin_patch, biomesoplenty:rocky_shrubland, biomesoplenty:scrubland, biomesoplenty:shrubland, biomeswevegone:coconino_meadow, biomeswevegone:firecracker_chaparral, biomeswevegone:prairie, biomeswevegone:pumpkin_valley, terralith:brushland, terralith:hot_shrubland, terralith:shrubland, terralith:steppe, terralith:valley_clearing, minecraft:snowy_plains",NONE,0.5
Annihilape,45,55,NIGHT,Tree Top,"minecraft:bamboo_jungle, minecraft:jungle, minecraft:sparse_jungle, biomesoplenty:floodplain, biomesoplenty:fungal_jungle, biomesoplenty:rainforest, biomesoplenty:rocky_rainforest, biomesoplenty:tropics, biomeswevegone:fragment_jungle, biomeswevegone:jacaranda_jungle, biomeswevegone:tropical_rainforest, terralith:amethyst_canyon, terralith:amethyst_rainforest, terralith:jungle_mountains, terralith:rocky_jungle, terralith:skylands_summer, terralith:tropical_jungle, pixelmon:ultra_jungle",NONE,0.1
Anorith,2,35,NIGHT,Water,pixelmon:ultra_jungle,NONE,50.0
Appletun,30,50,DAY,Grass,"minecraft:forest, minecraft:flower_forest, biomesoplenty:grove, biomesoplenty:jacaranda_glade, biomesoplenty:maple_woods, biomesoplenty:mediterranean_forest, biomesoplenty:orchard, biomesoplenty:seasonal_forest, biomesoplenty:seasonal_orchard, biomesoplenty:woodland, biomeswevegone:black_forest, biomeswevegone:maple_taiga, biomeswevegone:orchard, biomeswevegone:overgrown_woodlands, biomeswevegone:skyrise_vale, biomeswevegone:temperate_grove, biomeswevegone:zelkova_forest, terralith:sakura_grove, terralith:temperate_highlands",NONE,0.5
Appletun,30,50,DAY,Land,pixelmon:ultra_forest,NONE,25.0
Appletun,30,50,DAY,Land,"minecraft:forest, minecraft:flower_forest, biomesoplenty:grove, biomesoplenty:jacaranda_glade, biomesoplenty:maple_woods, biomesoplenty:mediterranean_forest, biomesoplenty:orchard, biomesoplenty:seasonal_forest, biomesoplenty:seasonal_orchard, biomesoplenty:woodland, biomeswevegone:black_forest, biomeswevegone:maple_taiga, biomeswevegone:orchard, biomeswevegone:overgrown_woodlands, biomeswevegone:skyrise_vale, biomeswevegone:temperate_grove, biomeswevegone:zelkova_forest, terralith:sakura_grove, terralith:temperate_highlands",NONE,0.5
